#Puck,v_x (m/s), v_y (m/s)
3,0.23854,-0.275658
4,-0.0244,-0.338548
5,-0.360478,-0.154401
6,0.0201495,0.147045
7,0.0676725,0.242805
8,0.196406,0.264963
9,-0.457091,-0.0558893
10,-0.400589,-0.0346967
11,0.218739,0.276978
12,0.276156,0.151828
13,-0.0177077,-0.864838
14,-0.249099,-0.311765
15,0.580155,-0.195867
16,-0.21745,-0.293298
17,-0.115627,0.528665
18,0.233376,0.0610587
19,0.16403,-0.346456
20,-0.114951,0.333957
0,-0.0826474,0.10416
1,0.0312669,-0.0503917
2,0.384162,0.260976
3,0.253495,-0.286732
4,-0.0260358,-0.341197
5,-0.355322,-0.157347
6,0.384071,-0.154458
7,0.430187,0.22425
8,0.152247,0.307521
9,-0.769756,-0.0243173
10,-0.372761,-0.0952454
11,0.207878,0.291349
12,0.277309,0.154364
13,-0.0391741,-0.864513
14,0.260839,0.315617
15,0.575632,-0.189421
16,-0.231556,-0.328728
17,-0.0801569,0.502775
18,0.235672,0.0572163
19,0.159205,-0.345044
20,-0.12175,0.333975
0,-0.0844515,0.105
1,0.0386025,-0.048368
2,0.376917,0.263674
3,0.262292,-0.27271
4,-0.0334523,-0.362489
5,-0.349284,-0.165975
6,0.364239,-0.147475
7,0.503552,0.246156
8,-0.0781222,0.524339
9,0.0106459,0.00434329
10,-0.361228,-0.0876138
11,0.199533,0.296694
12,0.275923,0.150605
13,-0.0241776,-0.868792
14,0.261708,0.307328
15,0.577396,-0.194389
16,-0.220831,-0.338651
17,0.168802,0.260382
18,0.238741,0.0501435
19,0.160378,-0.341482
20,-0.111034,0.333759
0,-0.0800062,0.101648
1,0.103188,-0.583493
2,0.37845,0.253179
3,0.262451,-0.288353
4,-0.0468682,-0.342305
5,-0.354975,-0.164275
6,0.3652,-0.145582
7,0.512115,0.240281
8,-0.077727,0.519139
9,0.00295373,-0.0337464
10,-0.37532,-0.101846
11,0.19998,0.290372
12,0.275427,0.154484
13,-0.0266405,-0.866786
14,0.263454,0.305681
15,0.570497,-0.190239
16,-0.215788,-0.34445
17,0.152076,0.254942
18,0.234475,0.0548646
19,0.155543,-0.349312
20,-0.111635,0.33726
0,-0.0868896,0.106244
1,0.0335957,-0.0492723
2,0.378007,0.238423
3,0.252922,-0.265538
4,-0.0777711,-0.359684
5,-0.375363,-0.147449
6,0.358917,-0.145683
7,0.526367,0.24676
8,-0.0889556,0.450606
9,-0.0133184,0.00348492
10,-0.349374,-0.135144
11,0.196851,0.290808
12,0.270008,0.158092
13,0.188035,-0.0434935
14,0.259045,0.296351
15,0.570173,-0.193691
16,-0.211117,-0.368134
17,0.149124,0.260923
18,0.230812,0.0588071
19,0.154605,-0.341215
20,-0.114029,0.333455
0,-0.0880981,0.101809
1,0.0356451,-0.0475464
2,0.411798,-0.0665811
3,0.257944,-0.293925
4,-0.0600616,-0.373298
5,-0.347355,-0.156219
6,0.35289,-0.142563
7,0.52147,0.245417
8,-0.116477,0.216909
9,0.00274971,0.0140187
10,-0.319073,-0.159218
11,0.197549,0.29165
12,0.0380493,0.235903
13,0.253649,0.391065
14,0.264218,0.315297
15,0.567696,-0.195483
16,-0.211109,-0.35755
17,0.157435,0.262346
18,0.227604,0.0545797
19,0.157822,-0.341
20,-0.112628,0.33456
0,-0.0831777,0.101314
1,0.0322539,-0.0520845
2,0.402109,-0.0655555
3,0.255453,-0.301133
4,-0.137949,-0.382735
5,-0.330505,-0.163791
6,0.345343,-0.147205
7,0.546488,0.211801
8,0.0924074,0.0281735
9,0.00136015,-0.016581
10,-0.31265,-0.143294
11,0.198682,0.284381
12,-0.00546081,0.233001
13,0.268734,0.389078
14,0.268685,0.298226
15,0.568223,-0.196764
16,-0.205405,-0.331531
17,0.165841,0.260189
18,0.223915,0.052669
19,0.152598,-0.34459
20,-0.108027,0.330595
0,-0.092844,0.0973012
1,0.0350055,-0.0498991
2,-0.268356,-0.58436
3,0.266238,-0.296378
4,-0.0874263,-0.356615
5,-0.33715,-0.161304
6,0.345856,-0.149561
7,0.565235,0.22087
8,0.0800631,0.0210658
9,0.0233523,-0.01212
10,-0.291876,-0.111279
11,0.197272,0.289096
12,-0.00542957,0.233659
13,0.274406,0.396013
14,0.259899,0.295288
15,0.566837,-0.190222
16,0.297936,-0.231731
17,0.170528,0.253975
18,0.233095,0.0487558
19,0.154755,-0.342438
20,-0.112528,0.322495
0,-0.0905574,0.0993708
1,0.0269677,-0.047528
2,-0.26752,-0.583989
3,0.244869,-0.289043
4,-0.0999048,-0.392684
5,-0.322479,-0.149933
6,0.331696,-0.155887
7,0.59016,0.237999
8,0.170322,-0.0461072
9,0.0147172,-0.0491198
10,-0.211493,-0.0828882
11,0.196363,0.286737
12,-0.00290043,0.226599
13,0.261441,0.396779
14,0.250152,0.256671
15,0.56575,-0.193669
16,-0.131095,0.530278
17,0.165995,0.25855
18,0.228321,0.0489415
19,0.163773,-0.340113
20,-0.103451,0.329489
0,-0.0947794,0.100768
1,0.0379224,-0.0518345
2,-0.268174,-0.581839
3,0.225071,-0.293987
4,-0.044975,-0.369306
5,-0.324217,-0.153739
6,0.334003,-0.144953
7,0.140054,-0.341454
8,0.198745,-0.0729233
9,0.0174889,-0.0584496
10,0.0877069,-0.0327006
11,0.18734,0.288662
12,-0.00432674,0.222171
13,0.261332,0.39516
14,0.12325,-0.470641
15,0.5647,-0.193704
16,0.388006,0.0122928
17,0.170846,0.265462
18,0.220157,0.0491924
19,0.159263,-0.338412
20,-0.009374,0.114949
0,-0.0232089,0.104096
1,0.0272103,-0.0468351
2,-0.267673,-0.57867
3,0.260415,-0.234622
4,-0.052851,-0.380663
5,-0.325548,-0.151787
6,0.332042,-0.136616
7,0.237973,0.00407493
8,0.191693,-0.302946
9,-0.0075764,-0.0776406
10,0.0807474,-0.00465759
11,0.119724,0.282226
12,-0.00609494,0.222289
13,0.259432,0.402944
14,0.0681894,-0.709424
15,0.562182,-0.191116
16,0.245302,0.362849
17,0.172597,0.265065
18,-0.0399553,-0.412649
19,0.114356,-0.238157
20,0.142094,-0.257669
0,0.154932,0.103347
1,0.0339541,-0.0501601
2,-0.271068,-0.58024
3,0.441124,-0.0192718
4,-0.0528455,-0.365608
5,-0.339319,-0.146821
6,0.33085,-0.1395
7,0.40338,-0.205388
8,0.321025,-0.0726476
9,-0.00249238,-0.0678108
10,0.0483597,0.00629161
11,-0.0559977,0.270395
12,-0.0158494,0.214053
13,0.248192,0.413222
14,0.118384,-0.357227
15,0.563868,-0.196053
16,0.237953,0.35469
17,0.17386,0.272508
18,0.292873,-0.0936086
19,0.0640878,-0.116697
20,0.151784,-0.245402
0,0.154775,0.104553
1,0.228942,0.113297
2,-0.267579,-0.578405
3,0.440821,-0.01927
4,-0.608891,-0.332231
5,-0.324553,-0.137958
6,0.329058,-0.154224
7,0.397043,-0.208774
8,0.317172,-0.0775965
9,-0.226867,-0.0588209
10,0.0231958,0.0199593
11,-0.053305,0.272307
12,-0.0182076,0.218263
13,0.0578192,0.229419
14,0.0918762,-0.694139
15,0.563008,-0.193046
16,0.251924,0.357181
17,0.17021,0.267505
18,-0.174787,-0.659235
19,0.0847474,-0.0894831
20,0.14706,-0.246977
0,0.154219,0.108332
1,0.335396,0.190548
2,-0.271925,-0.580047
3,0.443841,-0.0162428
4,0.0176617,0.0182407
5,-0.328694,-0.135949
6,0.324902,-0.135479
7,0.394054,-0.205903
8,0.324657,-0.0848402
9,-0.0898029,-0.0600359
10,0.00356097,0.0217679
11,-0.0436975,0.271927
12,-0.0213966,0.222245
13,-0.0431278,0.145977
14,0.136057,-0.706296
15,0.559712,-0.192351
16,0.241979,0.354293
17,0.143904,0.25834
18,-0.182718,-0.659761
19,0.0667833,-0.124064
20,0.15166,-0.243684
0,0.154962,0.107621
1,0.33815,0.172739
2,-0.266669,-0.572954
3,0.442953,-0.0168567
4,-0.679108,-0.373969
5,-0.328982,-0.137824
6,0.328632,-0.135736
7,0.399984,-0.201894
8,0.31892,-0.0760516
9,-0.0919001,-0.0620835
10,0.0033218,0.0240599
11,-0.0453941,0.280156
12,-0.032956,0.224539
13,-0.0426131,0.141126
14,0.162374,-0.680347
15,0.56015,-0.185116
16,0.234202,0.357223
17,0.150238,0.269837
18,-0.181455,-0.655644
19,0.0775303,-0.116271
20,0.162901,-0.255217
0,0.152927,0.107854
1,0.34897,0.176959
2,-0.273572,-0.577481
3,0.44151,-0.0197552
4,0.0621551,0.182931
5,-0.326309,-0.150734
6,0.327819,-0.139139
7,0.4063,-0.204487
8,0.324594,-0.0737238
